idx,rel_path,in_path,out_path,orig_fs,used_fs,channel_idx,env_file,range_m,src_z,rcv_z,Npaths,power_db
24,train\ClassA\fishing\train_ClassA_fishing_id74_seg014.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id74_seg014.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id74_seg014.wav,16000,16000,53,env_044_summer_shallow_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.974
25,train\ClassA\fishing\train_ClassA_fishing_id74_seg015.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id74_seg015.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id74_seg015.wav,16000,16000,33,env_024_munk_H1000_R10000_mud.arr,10000.00,100.00,10.00,1,0.000
26,train\ClassA\fishing\train_ClassA_fishing_id76_seg016.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg016.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg016.wav,16000,16000,91,env_075_deep_channel_H50_R2000_sand.arr,2000.00,49.00,10.00,3,2.754
27,train\ClassA\fishing\train_ClassA_fishing_id76_seg017.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg017.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg017.wav,16000,16000,4,env_004_munk_H50_R2000_mud.arr,2000.00,49.00,10.00,3,1.106
28,train\ClassA\fishing\train_ClassA_fishing_id76_seg018.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg018.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg018.wav,16000,16000,69,env_059_winter_shallow_H200_R2000_sand.arr,2000.00,100.00,10.00,2,2.286
29,train\ClassA\fishing\train_ClassA_fishing_id76_seg019.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg019.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg019.wav,16000,16000,114,env_092_deep_channel_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.985
30,train\ClassA\fishing\train_ClassA_fishing_id76_seg020.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg020.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg020.wav,16000,16000,102,env_086_deep_channel_H200_R5000_mud.arr,5000.00,100.00,10.00,1,0.000
31,train\ClassA\fishing\train_ClassA_fishing_id76_seg021.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg021.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg021.wav,16000,16000,113,env_092_deep_channel_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.985
32,train\ClassA\fishing\train_ClassA_fishing_id76_seg022.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg022.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg022.wav,16000,16000,16,env_019_munk_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,2.968
33,train\ClassA\fishing\train_ClassA_fishing_id76_seg023.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg023.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg023.wav,16000,16000,95,env_079_deep_channel_H50_R10000_sand.arr,10000.00,49.00,10.00,1,0.000
34,train\ClassA\fishing\train_ClassA_fishing_id76_seg024.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg024.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg024.wav,16000,16000,78,env_068_winter_shallow_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.295
35,train\ClassA\fishing\train_ClassA_fishing_id76_seg025.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id76_seg025.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id76_seg025.wav,16000,16000,122,env_094_deep_channel_H1000_R5000_mud.arr,5000.00,100.00,10.00,2,1.322
36,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg000.wav,16000,16000,63,env_048_summer_shallow_H1000_R10000_mud.arr,10000.00,100.00,10.00,1,0.000
37,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg001.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg001.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg001.wav,16000,16000,9,env_013_munk_H200_R5000_sand.arr,5000.00,100.00,10.00,1,0.000
38,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg002.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg002.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg002.wav,16000,16000,6,env_010_munk_H200_R500_mud.arr,500.00,100.00,10.00,2,2.935
39,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg003.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg003.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg003.wav,16000,16000,130,env_096_deep_channel_H1000_R10000_mud.arr,10000.00,100.00,10.00,1,0.000
40,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg004.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg004.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg004.wav,16000,16000,17,env_019_munk_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,2.981
41,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg005.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg005.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg005.wav,16000,16000,41,env_035_summer_shallow_H200_R2000_sand.arr,2000.00,100.00,10.00,2,1.538
42,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg006.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg006.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg006.wav,16000,16000,8,env_012_munk_H200_R2000_mud.arr,2000.00,100.00,10.00,2,1.356
43,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg007.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg007.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg007.wav,16000,16000,96,env_080_deep_channel_H50_R10000_mud.arr,10000.00,49.00,10.00,1,0.000
44,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg008.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg008.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg008.wav,16000,16000,46,env_043_summer_shallow_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,2.836
45,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg009.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg009.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg009.wav,16000,16000,63,env_048_summer_shallow_H1000_R10000_mud.arr,10000.00,100.00,10.00,1,0.000
46,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg010.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg010.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg010.wav,16000,16000,18,env_020_munk_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,1.347
47,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg011.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg011.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg011.wav,16000,16000,66,env_050_winter_shallow_H50_R500_mud.arr,500.00,49.00,10.00,2,2.559
48,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg012.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg012.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg012.wav,16000,16000,41,env_035_summer_shallow_H200_R2000_sand.arr,2000.00,100.00,10.00,2,1.538
49,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg013.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg013.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg013.wav,16000,16000,51,env_044_summer_shallow_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.836
50,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg014.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg014.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg014.wav,16000,16000,92,env_076_deep_channel_H50_R2000_mud.arr,2000.00,49.00,10.00,3,2.754
51,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg015.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg015.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg015.wav,16000,16000,13,env_019_munk_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,1.347
52,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg016.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg016.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg016.wav,16000,16000,17,env_019_munk_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,2.981
53,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg017.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg017.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg017.wav,16000,16000,16,env_019_munk_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,2.968
54,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg018.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg018.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id47_seg018.wav,16000,16000,81,env_068_winter_shallow_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.929
55,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg019.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg019.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg019.wav,16000,16000,71,env_065_winter_shallow_H1000_R500_sand.arr,500.00,100.00,10.00,2,2.567
56,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg020.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg020.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg020.wav,16000,16000,122,env_094_deep_channel_H1000_R5000_mud.arr,5000.00,100.00,10.00,2,1.322
57,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg021.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg021.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg021.wav,16000,16000,78,env_068_winter_shallow_H1000_R2000_mud.arr,2000.00,100.00,10.00,2,2.295
58,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg022.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg022.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg022.wav,16000,16000,96,env_080_deep_channel_H50_R10000_mud.arr,10000.00,49.00,10.00,1,0.000
59,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg023.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg023.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg023.wav,16000,16000,13,env_019_munk_H1000_R2000_sand.arr,2000.00,100.00,10.00,2,1.347
60,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg024.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg024.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg024.wav,16000,16000,62,env_047_summer_shallow_H1000_R10000_sand.arr,10000.00,100.00,10.00,1,0.000
61,train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg025.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg025.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\mussel_boat\train_ClassA_mussel_boat_id49_seg025.wav,16000,16000,38,env_028_summer_shallow_H50_R2000_mud.arr,2000.00,49.00,10.00,1,0.000
